idiom_id,headword,hanja,meaning,level_min
1,가렴주구,苛斂誅求,"세금을 가혹하게 거두어들이고, 무리하게 재물을 빼앗음.",10
2,가인박명,佳人薄命,미인은 불행하거나 병약하여 요절하는 일이 많음,9
3,각고면려,刻苦勉勵,"몸과 마음을 다하여, 무척 애를 쓰면서 부지런히 노력함.",10
5,각골지통,刻骨之痛,뼈에 사무칠 만큼 원통함. 또는 그런 일.,10
6,각골통한,刻骨痛恨,뼈에 사무칠 만큼 원통하고 한스 러움. 또는 그런 일.,10
7,각주구검,刻舟求劍,"빠뜨린 자리를 표시해 두었다가 배가 정박한 뒤에 칼을 찾으려 했다는 고사 (故事)에서, 미련하고 융통성이 없음의 비유.",7
9,간담상조,肝膽相照,서로 속마음을 털어놓고 친하게 사귐.,9
11,감탄고토,甘呑苦吐,"달면 삼키고 쓰면 뱉는다는 뜻으로, 자신의 비위에 따라서 사리의 옳고 그름 을 판단함을 이르는 말.",7
12,갑론을박,甲論乙駁,여러 사람이 서로 자신의 주장을 내세우며 상대편의 주장을 반박함.,7
13,강구연월,康衢煙月,태평한 시대의 큰 길거리의 평화로운 풍경.,10
14,개과천선,改過遷善,지난날의 잘못이나 허물을 고쳐 올바르고 착하게 됨.,5
15,격세지감,隔世之感,다른 세대를 만난 것처럼 몹시 달라진 느낌. 격세감.,7
16,견강부회,牽强附會,이치에 맞지 않는 말을 억지로 끌어 붙여 자기에게 유리하게 함.,10
17,견리사의,見利思義,"눈앞에 이익이 보일 때, 의리를 생각함.",10
24,경거망동,輕擧妄動,경솔하여 생각 없이 망령되게 행동함.,7
26,고립무원,孤立無援,고립되어 구원을 받을 데가 없음.,7
28,고진감래,苦盡甘來,"쓴 것이 다하면 단 것이 온다는 뜻으로, 고생 끝에 즐거움이 옴을 이르는 말.",5
30,과대망상,誇大妄想,사실보다 과장하여 터무니없는 헛된 생각을 하는 증상.,7
33,괄목상대,刮目相對,눈을 비비고 다시 본다는 뜻으로 남의 학식이나 재주가 생 각보다 부쩍 진보한 것을 이르는 말.,7
34,광음여류,光陰如流,세월이 가는 것이 물의 흐름처럼 빠름.,10
35,교언영색,巧言令色,아첨하는 말과 알랑거리는 태도.,9
36,구밀복검,口蜜腹劍,"다는 뜻으로, 말로는 친한 체하나 속으로는 해칠 생각을 가짐을 이르는 말.",9
38,구우일모,九牛一毛,"아홉 마리의 소 가운데 박힌 하나의 털이란 뜻으로, 매우 많은 것 가운데 극히 적은 수를 이르 는 말.",7
39,군웅할거,群雄割據,많은 영웅들이 서로 한 지방씩을 차지하여 세력을 다툼.,9
40,권불십년,權不十年,"권세는 십 년을 가지 못한다는 뜻으로, 아무리 높은 권세라도 오래가지 못함을 이르는 말.",7
41,권토중래,捲土重來,어떤 일에 실패한 뒤에 힘을 가다듬어 다시 그 일에 착수함을 비유하여 이르는 말.,9
42,근묵자흑,近墨者黑,"먹을 가까이하는 사람은 검어진다는 뜻으로, 나쁜 사람과 가까이 지내면 나쁜 버릇에 물들기 쉬움을 비유적으로 이르는 말.",5
46,금의환향,錦衣還鄕,"비단옷을 입고 고향에 돌아온다는 뜻으로, 출세를 하여 고향에 돌아가거나 돌아옴을 비유적으로 이르는 말.",7
47,기고만장,氣高萬丈,"1. 펄펄 뛸 만큼 대단히 성이 남. 2. 일이 뜻대로 잘될 때, 우쭐하여 뽐내는 기세가 대단함.",5
48,기사회생,起死回生,거의 죽을 뻔하다가 도로 살아남.,5
49,기호지세,騎虎之勢,"호랑이를 타고 달리는 형세라는 뜻으로, 이미 시작한 일을 중도에서 그만둘 수 없는 경우를 비유적으로 이르는 말.",7
51,내우외환,內憂外患,나라 안팎의 여러 가지 어려움.,9
52,노심초사,勞心焦思,몹시 마음을 쓰며 애를 태움.,7
53,능소능대,能小能大,모든 일에 두루 능함.,9
55,다다익선,多多益善,많으면 많을수록 더욱 좋음,5
56,당랑거철,螳螂拒轍,"제 역량을 생각하지 않고, 강한 상대나 되지 않을 일에 덤벼드는 무모한 행동거지를 비유적으로 이르는 말",7
57,대경실색,大驚失色,몹시 놀라 얼굴빛이 하얗게 질림.,7
58,독야청청,獨也靑靑,남들이 모두 절개를 꺾는 상황 속에서도 홀로 절개를 굳세게 지키고 있음을 비유적으로 이르는 말.,9
59,동가홍상,同價紅裳,"같은 값이면 다홍치마라는 뜻으로, 같은 값이면 좋은 물건을 가짐을 이르는 말.",7
60,동문서답,東問西答,물음과는 전혀 상관없는 엉뚱한 대답.,5
61,동병상련,同病相憐,"같 은 병을 앓는 사람끼리 서로 가엾게 여긴다는 뜻으로, 어려운 처지에 있는 사람끼리 서로 가엾게 여김을 이르는 말.",7
62,동분서주,東奔西走,"동쪽으로 뛰고 서쪽으로 뛴다는 뜻으로, 사방으로 이리저리 몹시 바 쁘게 돌아다님을 이르는 말.",7
63,동상이몽,同床異夢,"같은 자리에 자면서 다른 꿈을 꾼다는 뜻 으로, 겉으로는 같이 행동하면서도 속으로는 각각 딴생각을 하고 있음을 이르는 말.",5
64,두문불출,杜門不出,1. 집에만 있고 바깥출입을 아니함. 2. 집에서 은거하면서 관직에 나가지 아니하거나 사회의 일 을 하지 아니함을 비유적으로 이르는 말.,7
65,마이동풍,馬耳東風,"뜻으로, 남의 말을 귀담아듣지 아니하고 지나쳐 흘려 버림을 이르는 말.",5
66,막무가내,莫無可奈,도무지 융통성이 없고 고집이 세어 어찌할 수 없음,3
69,만사휴의,萬事休矣,것이 끝장났다’·‘모든 일이 전혀 가망 없다’의 뜻.,10
70,만시지탄,晩時之歎,시기에 늦어 기회를 놓쳤음을 안타까워하는 탄식.,9
71,망양지탄,亡羊之歎,"갈림길이 매우 많아 잃어버린 양을 찾을 길이 없음을 탄식한다는 뜻으로, 학문의 길이 여러 갈래여서 한 갈래의 진리도 얻기 어려움을 이르는 말.",10
72,망연자실,茫然自失,멍하니 정신을 잃음.,7
73,망운지정,望雲之情,"구름을 바라보며 그리워한다는 뜻으로, ①타향에서 고향에 계신 부모를 생 각함 ②멀리 떠나온 자식이 어버이를 사모하여 그리는 정",10
74,맥수지탄,麥秀之嘆,고국의 멸망을 한탄함을 이르는 말.,10
75,면종복배,面從腹背,겉으로는 복종하는 체하면서 내심으로는 배반함.,9
76,멸사봉공,滅私奉公,사를 버리고 공을 위하여 힘써 일함.,7
77,명재경각,命在頃刻,거의 죽게 되어 곧 숨이 끊어질 지경에 이름.,9
79,목불인견,目不忍見,눈앞에 벌어진 상황 따위를 눈 뜨고는 차마 볼 수 없음.,9
80,무위도식,無爲徒食,하는 일 없이 놀고먹음.,9
81,무위자연,無爲自然,자연에 맡겨 덧없는 행동은 하지 않음.,10
83,물아일체,物我一體,"외물(外物)과 자아, 객관과 주관, 또는 물질계와 정신계가 어울려 하나가 됨.",10
