doc_id,level,quarter,week,book_title,review_status,n_vocab,n_ox,n_qa,n_essay,b1_unknown,b2_empty,b3_label_as_question,b4_dup_order,b5_font_broken,w1_table_noconfig,w2_rows_int,w3_reading_type_odd,w4_reading_type_null,w5_missing_parts,w6_no_cover_message,n_images,n_images_linked,grade,blockers
L1-Q1-W01,L1,1분기(고전),1,우리는 친구,pending,5,0,6,1,1,0,0,0,2,0,0,0,6,1,0,3,0,unusable,B1
L1-Q1-W02,L1,1분기(고전),2,아낌없이 주는 나무,pending,5,0,6,1,0,0,0,0,0,0,0,6,0,1,0,4,0,needs_review,
L1-Q1-W03,L1,1분기(고전),3,크리스마스 선물,pending,5,0,9,1,2,0,1,1,0,0,0,0,9,1,0,4,0,unusable,B1;B3;B4
L1-Q1-W04,L1,1분기(고전),4,행복한 왕자,pending,5,0,7,1,2,0,0,0,0,0,0,0,7,1,0,3,0,unusable,B1
L1-Q1-W05,L1,1분기(고전),5,이건 내 모자가 아니야,pending,5,0,2,1,0,0,0,0,0,0,0,0,2,1,0,4,0,needs_review,
L1-Q1-W06,L1,1분기(고전),6,브레멘 음악대,pending,5,0,2,1,1,0,0,0,2,0,0,0,2,1,0,4,0,unusable,B1
L1-Q1-W07,L1,1분기(고전),7,치과의사 드소토 선생님,pending,5,0,6,1,0,0,0,0,0,1,0,0,6,1,0,4,0,needs_review,
L1-Q1-W08,L1,1분기(고전),8,아름다운 실수,pending,5,0,6,1,0,0,0,0,0,1,0,0,6,1,0,4,0,needs_review,
L1-Q1-W09,L1,1분기(고전),9,장화 신은 고양이,pending,5,0,6,1,0,0,0,1,0,0,0,0,6,1,0,4,0,unusable,B4
L1-Q1-W10,L1,1분기(고전),10,이솝 이야기,pending,5,0,6,1,2,0,0,0,0,1,0,0,6,1,0,4,0,unusable,B1
L1-Q1-W11,L1,1분기(고전),11,이솝 이야기,pending,5,0,7,1,0,0,0,0,0,2,0,0,7,1,0,4,0,needs_review,
L1-Q1-W12,L1,1분기(고전),12,우리들의 특별한 버스,pending,5,0,7,1,2,0,0,0,0,0,0,0,7,1,0,5,0,unusable,B1
L1-Q2-W05,L1,2분기(탐구),5,농부달력,pending,5,0,9,1,1,0,0,0,0,0,0,6,0,1,0,3,0,unusable,B1
L1-Q2-W08,L1,2분기(탐구),8,미미의 스웨터,pending,5,0,9,1,0,0,0,0,0,0,0,7,0,1,0,2,0,needs_review,
L1-Q3-W01,L1,3분기(문학),1,책 먹는 여우,pending,5,5,6,1,0,0,0,0,0,0,0,0,6,0,0,2,0,needs_review,
L1-Q3-W02,L1,3분기(문학),2,윌리의 호주머니,pending,5,5,7,1,1,0,0,0,0,0,0,0,7,0,0,4,0,unusable,B1
L1-Q3-W03,L1,3분기(문학),3,학교에 간 공룡 앨리사우루스,pending,5,5,7,1,1,0,0,0,7,0,0,0,7,0,0,4,0,unusable,B1
L1-Q3-W04,L1,3분기(문학),4,글자동물원,pending,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,needs_review,
L1-Q3-W05,L1,3분기(문학),5,슈퍼 토끼,pending,5,5,7,1,0,0,0,0,3,0,0,0,7,0,0,5,0,needs_review,
L1-Q3-W06,L1,3분기(문학),6,프레드릭,pending,5,5,6,1,1,0,0,0,4,0,0,0,6,0,0,3,0,unusable,B1
L1-Q3-W07,L1,3분기(문학),7,까만 아기 양,pending,5,5,9,1,2,0,0,0,1,0,0,0,9,0,0,3,0,unusable,B1
