# char	codepoint	stroke_count
# 출처: Unicode Consortium Unihan Database (Unihan_IRGSources.txt, kTotalStrokes), 2026-09-03 조회.
# populate_hanja_strokes.py가 이 파일을 읽어 vocab idiom.db의 hanja.stroke_count를 채운다.
一	U+4E00	1
丈	U+4E08	3
三	U+4E09	3
上	U+4E0A	3
下	U+4E0B	3
不	U+4E0D	4
世	U+4E16	5
丘	U+4E18	5
中	U+4E2D	4
丹	U+4E39	4
之	U+4E4B	3
乙	U+4E59	1
九	U+4E5D	2
也	U+4E5F	3
亂	U+4E82	13
事	U+4E8B	8
二	U+4E8C	2
五	U+4E94	4
亡	U+4EA1	3
交	U+4EA4	6
人	U+4EBA	2
仙	U+4ED9	5
令	U+4EE4	5
以	U+4EE5	4
休	U+4F11	6
伯	U+4F2F	7
佑	U+4F51	7
佳	U+4F73	8
來	U+4F86	8
信	U+4FE1	9
假	U+5047	11
偸	U+5078	11
傍	U+508D	12
傳	U+50B3	13
價	U+50F9	15
先	U+5148	6
光	U+5149	6
兎	U+514E	7
兢	U+5162	14
入	U+5165	2
內	U+5167	4
兩	U+5169	8
公	U+516C	4
六	U+516D	4
再	U+518D	6
出	U+51FA	5
切	U+5207	4
初	U+521D	7
利	U+5229	7
刮	U+522E	8
刻	U+523B	8
前	U+524D	9
割	U+5272	12
劍	U+528D	15
加	U+52A0	5
助	U+52A9	7
勉	U+52C9	9
動	U+52D5	11
勞	U+52DE	12
勢	U+52E2	13
勵	U+52F5	16
十	U+5341	2
千	U+5343	3
半	U+534A	5
卵	U+5375	7
厚	U+539A	9
及	U+53CA	3
友	U+53CB	4
反	U+53CD	4
口	U+53E3	3
可	U+53EF	5
同	U+540C	6
吐	U+5410	6
吳	U+5433	7
吾	U+543E	7
呑	U+5451	7
命	U+547D	8
和	U+548C	8
唯	U+552F	11
問	U+554F	11
善	U+5584	12
單	U+55AE	12
嘆	U+5606	14
嘗	U+5617	14
四	U+56DB	5
回	U+56DE	6
土	U+571F	3
在	U+5728	6
堂	U+5802	11
塞	U+585E	13
塵	U+5875	14
境	U+5883	14
墨	U+58A8	15
壤	U+58E4	20
夕	U+5915	3
外	U+5916	5
多	U+591A	6
夢	U+5922	13
大	U+5927	3
天	U+5929	4
夫	U+592B	4
失	U+5931	5
奈	U+5948	8
奉	U+5949	8
奔	U+5954	8
奪	U+596A	14
女	U+5973	3
如	U+5982	6
妄	U+5984	6
威	U+5A01	9
孑	U+5B51	3
字	U+5B57	6
孤	U+5B64	8
守	U+5B88	6
家	U+5BB6	10
宿	U+5BBF	11
寒	U+5BD2	12
對	U+5C0D	14
小	U+5C0F	3
巧	U+5DE7	5
差	U+5DEE	9
己	U+5DF1	3
已	U+5DF2	3
年	U+5E74	6
床	U+5E8A	7
康	U+5EB7	11
廬	U+5EEC	19
張	U+5F35	11
强	U+5F3A	12
往	U+5F80	8
待	U+5F85	9
後	U+5F8C	9
徒	U+5F92	10
得	U+5F97	11
從	U+5F9E	11
心	U+5FC3	4
必	U+5FC5	5
忍	U+5FCD	7
忘	U+5FD8	7
思	U+601D	9
恥	U+6065	10
恨	U+6068	9
悔	U+6094	10
患	U+60A3	11
悲	U+60B2	12
情	U+60C5	11
想	U+60F3	13
感	U+611F	13
慨	U+6168	12
